══════════════════════════════════════════════════════════════════════════════════════════
  DEC 2025 — 4-HOUR PEAK OUTCOMES (20 Pumper Coins)
══════════════════════════════════════════════════════════════════════════════════════════

Logs Processed:   1,860
Coin-Slots:       36,897
Average Peak:     2.55%
10%+ Winners:     1,337  (3.6%)
5%+  Winners:     4,727  (12.8%)
15%+ Winners:     581  (1.6%)
20%+ Winners:     251  (0.7%)
Errors:           303

──────────────────────────────────────────────────────────────────────────────────────────
  DETAILED RESULTS — Every Log File
──────────────────────────────────────────────────────────────────────────────────────────

=== 2025-12-01  7:00 ET  (UTC 1764590400)  ===
  ZEN        Entry $9.4780         → Peak $9.8510          +3.94%  DD:-1.46%
  BNKR       Entry $0.00022710     → Peak $0.00023520      +3.57%  DD:-6.61%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  FLOCK      Entry $0.121100       → Peak $0.123500        +1.98%  DD:-1.24%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.21%
  ZEC        Entry $359.51         → Peak $366.13          +1.84%  DD:-9.28%
  DASH       Entry $48.7500        → Peak $49.5700         +1.68%  DD:-3.51%
  OMNI       Entry $1.1840         → Peak $1.2030          +1.6%  DD:-11.06%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  FIS        Entry $0.041200       → Peak $0.041600        +0.97%  DD:-4.37%
  NEON       Entry $0.066980       → Peak $0.067400        +0.63%  DD:-4.09%
  CLANKER    Entry $43.6500        → Peak $43.8800         +0.53%  DD:-5.7%
  SAPIEN     Entry $0.113250       → Peak $0.113800        +0.49%  DD:-2.39%
  SQD        Entry $0.057200       → Peak $0.057400        +0.35%  DD:-3.85%
  PUMP       Entry $0.00267400     → Peak $0.00268200      +0.3%  DD:-4.04%
  KTA        Entry $0.255100       → Peak $0.255200        +0.04%  DD:-13.76%
  XCN        Entry $0.00520000     → Peak $0.00520000      +0%  DD:-6.15%
  MAMO       Entry $0.024650       → Peak $0.024640        -0.04%  DD:-6.53%
  PRCL       Entry $0.025700       → Peak $0.025600        -0.39%  DD:-3.89%
  [NO DATA: EDGE]

=== 2025-12-01  7:05 ET  (UTC 1764590700)  ===
  ZEN        Entry $9.4900         → Peak $9.8510          +3.8%  DD:-1.58%
  BNKR       Entry $0.00022710     → Peak $0.00023520      +3.57%  DD:-6.61%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.16%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.21%
  MAMO       Entry $0.024180       → Peak $0.024640        +1.9%  DD:-4.71%
  DASH       Entry $48.6600        → Peak $49.5700         +1.87%  DD:-3.33%
  ZEC        Entry $359.93         → Peak $366.13          +1.72%  DD:-9.39%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  OMNI       Entry $1.1840         → Peak $1.2030          +1.6%  DD:-11.06%
  KTA        Entry $0.251400       → Peak $0.254200        +1.11%  DD:-12.49%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  SAPIEN     Entry $0.112700       → Peak $0.113800        +0.98%  DD:-1.92%
  FIS        Entry $0.041200       → Peak $0.041600        +0.97%  DD:-4.37%
  SQD        Entry $0.057000       → Peak $0.057400        +0.7%  DD:-3.51%
  NEON       Entry $0.066980       → Peak $0.067400        +0.63%  DD:-4.09%
  CLANKER    Entry $43.7200        → Peak $43.8800         +0.37%  DD:-5.86%
  PUMP       Entry $0.00267600     → Peak $0.00268200      +0.22%  DD:-4.11%
  PRCL       Entry $0.025600       → Peak $0.025600        +0%  DD:-3.52%
  XCN        Entry $0.00520000     → Peak $0.00520000      +0%  DD:-6.15%
  [NO DATA: EDGE]

=== 2025-12-01  7:10 ET  (UTC 1764591000)  ===
  OMNI       Entry $1.1190         → Peak $1.2030          +7.51%  DD:-5.9% ●5%+
  BNKR       Entry $0.00022560     → Peak $0.00023520      +4.26%  DD:-5.98%
  ZEN        Entry $9.4990         → Peak $9.8510          +3.71%  DD:-1.67%
  DASH       Entry $48.5600        → Peak $49.5700         +2.08%  DD:-3.13%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.16%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.21%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  KTA        Entry $0.250000       → Peak $0.254200        +1.68%  DD:-12%
  ZEC        Entry $360.20         → Peak $366.13          +1.65%  DD:-9.46%
  MAMO       Entry $0.024180       → Peak $0.024530        +1.45%  DD:-4.71%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  SAPIEN     Entry $0.112700       → Peak $0.113800        +0.98%  DD:-1.92%
  SQD        Entry $0.057000       → Peak $0.057400        +0.7%  DD:-3.68%
  NEON       Entry $0.066980       → Peak $0.067400        +0.63%  DD:-5.2%
  FIS        Entry $0.041400       → Peak $0.041600        +0.48%  DD:-4.83%
  PRCL       Entry $0.025500       → Peak $0.025600        +0.39%  DD:-3.14%
  PUMP       Entry $0.00267700     → Peak $0.00268200      +0.19%  DD:-4.15%
  CLANKER    Entry $43.7800        → Peak $43.8500         +0.16%  DD:-5.98%
  EDGE       Entry $0.145300       → Peak $0.145300        +0%  DD:-3.98%
  XCN        Entry $0.00520000     → Peak $0.00519000      -0.19%  DD:-6.15%

=== 2025-12-01  7:15 ET  (UTC 1764591300)  ===
  OMNI       Entry $1.1190         → Peak $1.2030          +7.51%  DD:-5.9% ●5%+
  BNKR       Entry $0.00022340     → Peak $0.00023520      +5.28%  DD:-5.06% ●5%+
  ZEN        Entry $9.5120         → Peak $9.8510          +3.56%  DD:-1.81%
  DASH       Entry $48.3900        → Peak $49.5700         +2.44%  DD:-2.79%
  ZEC        Entry $357.92         → Peak $366.13          +2.29%  DD:-8.88%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.16%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.62%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  SQD        Entry $0.056500       → Peak $0.057400        +1.59%  DD:-2.83%
  MAMO       Entry $0.024180       → Peak $0.024530        +1.45%  DD:-4.71%
  FIS        Entry $0.041100       → Peak $0.041600        +1.22%  DD:-4.14%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  SAPIEN     Entry $0.112710       → Peak $0.113800        +0.97%  DD:-1.93%
  NEON       Entry $0.067090       → Peak $0.067400        +0.46%  DD:-5.93%
  PRCL       Entry $0.025500       → Peak $0.025600        +0.39%  DD:-3.14%
  XCN        Entry $0.00517000     → Peak $0.00519000      +0.39%  DD:-5.61%
  PUMP       Entry $0.00267000     → Peak $0.00267900      +0.34%  DD:-3.9%
  KTA        Entry $0.253500       → Peak $0.254200        +0.28%  DD:-13.21%
  CLANKER    Entry $43.7800        → Peak $43.8500         +0.16%  DD:-5.98%
  EDGE       Entry $0.145300       → Peak $0.145300        +0%  DD:-3.98%

=== 2025-12-01  7:20 ET  (UTC 1764591600) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  BNKR       Entry $0.00022490     → Peak $0.00023520      +4.58%  DD:-6.27%
  ZEN        Entry $9.4920         → Peak $9.8510          +3.78%  DD:-1.6%
  ZEC        Entry $357.10         → Peak $366.13          +2.53%  DD:-8.67%
  DASH       Entry $48.5300        → Peak $49.5700         +2.14%  DD:-3.07%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.32%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.62%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  MAMO       Entry $0.024180       → Peak $0.024530        +1.45%  DD:-4.71%
  KTA        Entry $0.251100       → Peak $0.254200        +1.23%  DD:-12.39%
  SQD        Entry $0.056800       → Peak $0.057400        +1.06%  DD:-3.52%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  SAPIEN     Entry $0.112950       → Peak $0.113800        +0.75%  DD:-2.13%
  FIS        Entry $0.041300       → Peak $0.041600        +0.73%  DD:-4.6%
  CLANKER    Entry $43.5400        → Peak $43.8500         +0.71%  DD:-5.47%
  NEON       Entry $0.067090       → Peak $0.067400        +0.46%  DD:-5.93%
  XCN        Entry $0.00517000     → Peak $0.00519000      +0.39%  DD:-5.61%
  PUMP       Entry $0.00267500     → Peak $0.00267700      +0.07%  DD:-4.07%
  EDGE       Entry $0.145300       → Peak $0.145300        +0%  DD:-3.98%
  PRCL       Entry $0.025600       → Peak $0.025600        +0%  DD:-3.52%

=== 2025-12-01  7:25 ET  (UTC 1764591900) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  BNKR       Entry $0.00022460     → Peak $0.00023520      +4.72%  DD:-6.14%
  ZEN        Entry $9.4810         → Peak $9.8510          +3.9%  DD:-1.49%
  ZEC        Entry $353.69         → Peak $366.13          +3.52%  DD:-7.79%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  DASH       Entry $48.3700        → Peak $49.5700         +2.48%  DD:-2.75%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.32%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.62%
  CLANKER    Entry $43.1500        → Peak $43.8400         +1.6%  DD:-4.61%
  KTA        Entry $0.250400       → Peak $0.254200        +1.52%  DD:-12.14%
  MAMO       Entry $0.024180       → Peak $0.024530        +1.45%  DD:-4.71%
  NEON       Entry $0.066620       → Peak $0.067400        +1.17%  DD:-5.43%
  SQD        Entry $0.056800       → Peak $0.057400        +1.06%  DD:-3.7%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  SAPIEN     Entry $0.112850       → Peak $0.113800        +0.84%  DD:-2.05%
  FIS        Entry $0.041300       → Peak $0.041600        +0.73%  DD:-4.6%
  XCN        Entry $0.00516000     → Peak $0.00519000      +0.58%  DD:-5.43%
  PUMP       Entry $0.00267300     → Peak $0.00267700      +0.15%  DD:-4%
  EDGE       Entry $0.145300       → Peak $0.145060        -0.17%  DD:-3.98%
  PRCL       Entry $0.025600       → Peak $0.025500        -0.39%  DD:-3.52%

=== 2025-12-01  7:30 ET  (UTC 1764592200) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  ZEN        Entry $9.4750         → Peak $9.8510          +3.97%  DD:-1.42%
  ZEC        Entry $353.43         → Peak $366.13          +3.59%  DD:-7.72%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  DASH       Entry $48.2300        → Peak $49.5700         +2.78%  DD:-2.47%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.57%
  ELA        Entry $1.2370         → Peak $1.2610          +1.94%  DD:-1.62%
  CLANKER    Entry $43.1500        → Peak $43.8400         +1.6%  DD:-4.61%
  KTA        Entry $0.250300       → Peak $0.254200        +1.56%  DD:-12.11%
  MAMO       Entry $0.024180       → Peak $0.024530        +1.45%  DD:-4.71%
  NEON       Entry $0.066630       → Peak $0.067400        +1.16%  DD:-5.45%
  SAPIEN     Entry $0.112560       → Peak $0.113800        +1.1%  DD:-1.79%
  SQD        Entry $0.056800       → Peak $0.057400        +1.06%  DD:-3.7%
  PUMP       Entry $0.00264600     → Peak $0.00267400      +1.06%  DD:-3.02%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  XCN        Entry $0.00515000     → Peak $0.00519000      +0.78%  DD:-5.24%
  FIS        Entry $0.041300       → Peak $0.041600        +0.73%  DD:-4.6%
  EDGE       Entry $0.145300       → Peak $0.145060        -0.17%  DD:-3.98%
  PRCL       Entry $0.025600       → Peak $0.025500        -0.39%  DD:-3.52%

=== 2025-12-01  7:35 ET  (UTC 1764592500) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  ZEN        Entry $9.5200         → Peak $9.8510          +3.48%  DD:-1.89%
  ZEC        Entry $354.31         → Peak $366.13          +3.34%  DD:-7.95%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  DASH       Entry $48.1300        → Peak $49.5700         +2.99%  DD:-2.26%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  ELA        Entry $1.2350         → Peak $1.2610          +2.11%  DD:-2.02%
  KTA        Entry $0.249000       → Peak $0.254200        +2.09%  DD:-11.65%
  FLOCK      Entry $0.121000       → Peak $0.123500        +2.07%  DD:-1.57%
  CLANKER    Entry $43.1500        → Peak $43.8400         +1.6%  DD:-4.61%
  SQD        Entry $0.056600       → Peak $0.057400        +1.41%  DD:-3.36%
  NEON       Entry $0.066630       → Peak $0.067400        +1.16%  DD:-5.45%
  SAPIEN     Entry $0.112540       → Peak $0.113800        +1.12%  DD:-1.78%
  MAMO       Entry $0.024270       → Peak $0.024530        +1.07%  DD:-5.07%
  HONEY      Entry $0.00970000     → Peak $0.00980000      +1.03%  DD:-3.09%
  PRCL       Entry $0.025300       → Peak $0.025500        +0.79%  DD:-2.37%
  FIS        Entry $0.041300       → Peak $0.041600        +0.73%  DD:-4.6%
  PUMP       Entry $0.00264700     → Peak $0.00266300      +0.6%  DD:-3.06%
  XCN        Entry $0.00516000     → Peak $0.00519000      +0.58%  DD:-5.43%
  EDGE       Entry $0.144710       → Peak $0.145060        +0.24%  DD:-3.59%

=== 2025-12-01  7:40 ET  (UTC 1764592800) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  ZEC        Entry $352.31         → Peak $366.13          +3.92%  DD:-7.43%
  ZEN        Entry $9.4800         → Peak $9.8510          +3.91%  DD:-1.48%
  KTA        Entry $0.245000       → Peak $0.254200        +3.76%  DD:-10.2%
  STRK       Entry $0.116000       → Peak $0.120000        +3.45%  DD:-0.86%
  DASH       Entry $48.0300        → Peak $49.5700         +3.21%  DD:-2.06%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-1.05%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  FLOCK      Entry $0.120900       → Peak $0.123500        +2.15%  DD:-1.49%
  CLANKER    Entry $43.1500        → Peak $43.8400         +1.6%  DD:-4.61%
  SQD        Entry $0.056600       → Peak $0.057400        +1.41%  DD:-3.36%
  SAPIEN     Entry $0.112250       → Peak $0.113800        +1.38%  DD:-1.52%
  PUMP       Entry $0.00263300     → Peak $0.00266300      +1.14%  DD:-2.54%
  MAMO       Entry $0.024270       → Peak $0.024530        +1.07%  DD:-5.07%
  NEON       Entry $0.066730       → Peak $0.067400        +1%  DD:-5.59%
  PRCL       Entry $0.025300       → Peak $0.025500        +0.79%  DD:-2.37%
  XCN        Entry $0.00515000     → Peak $0.00519000      +0.78%  DD:-5.24%
  EDGE       Entry $0.144230       → Peak $0.145050        +0.57%  DD:-3.27%
  FIS        Entry $0.041500       → Peak $0.041600        +0.24%  DD:-5.06%
  ELA        Entry $1.2590         → Peak $1.2610          +0.16%  DD:-3.89%

=== 2025-12-01  7:45 ET  (UTC 1764593100) [★ 1 WINNER] ===
  OMNI       Entry $1.0850         → Peak $1.2030          +10.88%  DD:-2.95% ★10%+
  ZEC        Entry $345.20         → Peak $366.13          +6.06%  DD:-5.52% ●5%+
  KTA        Entry $0.243000       → Peak $0.254200        +4.61%  DD:-9.47%
  ZEN        Entry $9.4220         → Peak $9.8510          +4.55%  DD:-0.87%
  DASH       Entry $47.6500        → Peak $49.5700         +4.03%  DD:-1.28%
  STRK       Entry $0.116000       → Peak $0.120000        +3.45%  DD:-0.86%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-1.05%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  CLANKER    Entry $42.8500        → Peak $43.8400         +2.31%  DD:-3.94%
  FLOCK      Entry $0.120800       → Peak $0.123500        +2.24%  DD:-1.41%
  PUMP       Entry $0.00260700     → Peak $0.00266300      +2.15%  DD:-1.57%
  SAPIEN     Entry $0.111770       → Peak $0.113800        +1.82%  DD:-1.1%
  SQD        Entry $0.056500       → Peak $0.057400        +1.59%  DD:-3.19%
  PRCL       Entry $0.025200       → Peak $0.025500        +1.19%  DD:-1.98%
  XCN        Entry $0.00513000     → Peak $0.00519000      +1.17%  DD:-4.87%
  MAMO       Entry $0.024270       → Peak $0.024530        +1.07%  DD:-5.07%
  NEON       Entry $0.066730       → Peak $0.067400        +1%  DD:-5.59%
  EDGE       Entry $0.144230       → Peak $0.145050        +0.57%  DD:-3.27%
  FIS        Entry $0.041500       → Peak $0.041600        +0.24%  DD:-5.06%
  ELA        Entry $1.2600         → Peak $1.2610          +0.08%  DD:-3.97%

=== 2025-12-01  7:50 ET  (UTC 1764593400)  ===
  OMNI       Entry $1.1170         → Peak $1.2030          +7.7%  DD:-5.73% ●5%+
  KTA        Entry $0.242400       → Peak $0.254200        +4.87%  DD:-9.24%
  ZEC        Entry $350.00         → Peak $366.13          +4.61%  DD:-6.82%
  ZEN        Entry $9.5270         → Peak $9.8510          +3.4%  DD:-1.96%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-1.05%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  DASH       Entry $48.2500        → Peak $49.5700         +2.74%  DD:-2.51%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  MAMO       Entry $0.023940       → Peak $0.024530        +2.46%  DD:-3.76%
  SQD        Entry $0.056800       → Peak $0.057400        +1.06%  DD:-3.7%
  FLOCK      Entry $0.122200       → Peak $0.123500        +1.06%  DD:-2.54%
  NEON       Entry $0.066730       → Peak $0.067400        +1%  DD:-5.59%
  SAPIEN     Entry $0.112950       → Peak $0.113800        +0.75%  DD:-2.13%
  CLANKER    Entry $43.5500        → Peak $43.8400         +0.67%  DD:-5.49%
  XCN        Entry $0.00516000     → Peak $0.00519000      +0.58%  DD:-5.43%
  EDGE       Entry $0.144230       → Peak $0.145050        +0.57%  DD:-3.27%
  PUMP       Entry $0.00265000     → Peak $0.00266300      +0.49%  DD:-3.17%
  FIS        Entry $0.041400       → Peak $0.041600        +0.48%  DD:-4.83%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  ELA        Entry $1.2600         → Peak $1.2590          -0.08%  DD:-3.97%

=== 2025-12-01  7:55 ET  (UTC 1764593700)  ===
  OMNI       Entry $1.1310         → Peak $1.2030          +6.37%  DD:-3.18% ●5%+
  ZEC        Entry $346.95         → Peak $366.13          +5.53%  DD:-6% ●5%+
  KTA        Entry $0.242400       → Peak $0.254200        +4.87%  DD:-9.24%
  ZEN        Entry $9.5220         → Peak $9.8510          +3.46%  DD:-1.91%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-3.16%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  EDGE       Entry $0.141030       → Peak $0.145050        +2.85%  DD:-1.07%
  DASH       Entry $48.2200        → Peak $49.5700         +2.8%  DD:-2.45%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  MAMO       Entry $0.024070       → Peak $0.024530        +1.91%  DD:-4.28%
  SQD        Entry $0.056600       → Peak $0.057400        +1.41%  DD:-3.36%
  FLOCK      Entry $0.122000       → Peak $0.123500        +1.23%  DD:-2.38%
  NEON       Entry $0.066640       → Peak $0.067400        +1.14%  DD:-5.46%
  PUMP       Entry $0.00264300     → Peak $0.00266300      +0.76%  DD:-2.91%
  SAPIEN     Entry $0.113060       → Peak $0.113800        +0.65%  DD:-2.23%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  XCN        Entry $0.00517000     → Peak $0.00519000      +0.39%  DD:-5.61%
